,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
3047,ITT,129.29,128.21,115.07,111.0,107.15,76.16,137.08,107.14,True,True,True,True,True,True,True,True,True
3071,JAN,4.75,2.36,1.1,1.01,0.81,0.3,4.75,95.24,True,True,True,True,True,True,True,True,True
3072,JANX,48.39,36.2,18.09,16.51,13.55,5.85,52.65,71.43,True,True,True,True,True,True,True,True,True
3076,JBI,15.09,14.8,12.69,12.3,11.84,8.81,15.42,108.73,True,True,True,True,True,True,True,True,True
3087,JEF,44.11,42.88,38.89,38.12,37.12,29.08,46.13,85.71,True,True,True,True,True,True,True,True,True
3121,JPM,191.21,188.85,167.49,163.35,158.6,134.1,200.3,110.32,True,True,True,True,True,True,True,True,True
3139,JXN,67.79,60.52,50.3,46.39,43.0,27.7,67.79,104.76,True,True,True,True,True,True,True,True,True
3151,KARO,27.2,25.67,24.51,24.34,24.09,18.59,27.2,76.19,True,True,True,True,True,True,True,True,True
3165,KEQU,34.71,31.94,25.35,22.97,21.16,14.66,36.1,94.44,True,True,True,True,True,True,True,True,True
3166,KEX,101.22,91.62,83.23,82.61,80.48,66.6,101.22,106.35,True,True,True,True,True,True,True,True,True
3173,KFY,63.51,62.72,55.93,54.83,53.6,44.81,66.14,96.83,True,True,True,True,True,True,True,True,True
3174,KGC,6.55,5.71,5.53,5.38,5.22,4.36,6.77,87.3,True,True,True,True,True,True,True,True,True
3181,KINS,4.26,3.85,2.82,2.47,2.19,1.07,4.65,96.03,True,True,True,True,True,True,True,True,True
3195,KMPB,22.39,22.3,20.41,19.83,19.37,16.98,23.41,103.97,True,True,True,True,True,True,True,True,True
3196,KMPR,59.07,58.34,50.85,50.16,49.13,39.21,64.05,92.06,True,True,True,True,True,True,True,True,True
3201,KNF,77.25,76.0,64.3,60.11,56.88,36.89,82.05,123.81,True,True,True,True,True,True,True,True,True
3220,KR,56.74,53.45,47.79,47.67,46.74,42.44,57.82,100.0,True,True,True,True,True,True,True,True,True
3229,KRO,11.47,10.6,9.15,9.07,8.79,6.56,12.28,86.51,True,True,True,True,True,True,True,True,True
3236,KRYS,163.44,160.33,129.6,127.99,123.1,82.18,180.42,95.24,True,True,True,True,True,True,True,True,True
3250,KUKE,2.86,2.27,1.46,1.24,1.07,0.46,3.24,92.06,True,True,True,True,True,True,True,True,True
3266,L,76.49,75.49,70.38,68.32,66.73,55.7,78.29,103.97,True,True,True,True,True,True,True,True,True
3269,LABP,21.92,12.73,7.02,6.24,4.55,2.75,21.96,107.14,True,True,True,True,True,True,True,True,True
3275,LAMR,115.5,113.57,101.97,99.66,97.95,78.53,120.58,96.83,True,True,True,True,True,True,True,True,True
3288,LAZ,39.36,39.16,34.83,34.63,33.86,26.4,41.87,76.98,True,True,True,True,True,True,True,True,True
3295,LBRT,22.47,21.26,19.63,18.82,18.0,11.74,22.7,80.95,True,True,True,True,True,True,True,True,True
3308,LDOS,127.71,126.76,111.18,107.11,103.2,76.92,131.09,88.89,True,True,True,True,True,True,True,True,True
3327,LEVI,21.94,19.0,16.38,15.82,15.27,12.82,21.94,100.79,True,True,True,True,True,True,True,True,True
3331,LFMD,11.01,9.05,7.46,6.64,6.04,1.47,11.53,107.94,True,True,True,True,True,True,True,True,True
3332,LFMDP,22.43,21.45,19.5,19.33,18.84,14.24,23.47,95.24,True,True,True,True,True,True,True,True,True
3360,LII,471.79,469.72,428.15,411.42,396.56,257.07,499.26,111.9,True,True,True,True,True,True,True,True,True
3389,LMNR,19.82,18.86,17.44,16.9,16.55,13.9,21.09,75.4,True,True,True,True,True,True,True,True,True
3416,LPG,40.78,37.78,37.54,34.82,33.39,21.11,47.8,100.79,True,True,True,True,True,True,True,True,True
3471,LWAY,20.48,15.05,13.44,12.19,10.96,5.75,21.39,82.54,True,True,True,True,True,True,True,True,True
3483,LYG,2.54,2.44,2.25,2.23,2.2,1.89,2.7,76.98,True,True,True,True,True,True,True,True,True
3501,MAMA,5.18,4.86,4.39,4.23,4.06,1.86,5.32,82.54,True,True,True,True,True,True,True,True,True
3530,MBINO,24.56,24.49,23.2,22.82,22.39,16.34,25.13,91.27,True,True,True,True,True,True,True,True,True
3544,MCBS,24.27,23.78,22.46,21.88,21.38,14.3,25.43,99.21,True,True,True,True,True,True,True,True,True
3550,MCK,531.26,525.14,483.85,467.49,456.14,354.01,540.09,103.17,True,True,True,True,True,True,True,True,True
3559,MCY,56.27,49.54,40.13,37.53,35.42,27.7,56.27,81.75,True,True,True,True,True,True,True,True,True
3569,MDRRP,24.51,24.3,23.63,22.71,22.32,12.3,25.34,88.1,True,True,True,True,True,True,True,True,True
3577,MEC,14.0,13.21,12.74,12.47,12.43,9.59,15.22,108.73,True,True,True,True,True,True,True,True,True
3588,MERC,9.85,9.38,9.02,8.93,8.81,7.48,10.18,83.33,True,True,True,True,True,True,True,True,True
3591,MET,72.24,71.15,66.61,65.55,63.95,49.12,74.11,92.86,True,True,True,True,True,True,True,True,True
3592,META,495.95,494.92,393.38,370.63,349.66,207.55,527.34,94.44,True,True,True,True,True,True,True,True,True
3600,MFG,3.95,3.88,3.6,3.52,3.44,2.85,4.29,84.92,True,True,True,True,True,True,True,True,True
3603,MFIC,15.31,14.65,13.88,13.76,13.51,10.99,15.31,108.73,True,True,True,True,True,True,True,True,True
3606,MG,9.1,8.98,7.35,7.09,6.92,5.04,9.71,90.48,True,True,True,True,True,True,True,True,True
3627,MGY,25.68,24.25,22.46,22.44,21.89,18.92,26.98,86.51,True,True,True,True,True,True,True,True,True
3649,MIR,11.2,10.47,9.31,8.96,8.69,6.76,11.39,92.86,True,True,True,True,True,True,True,True,True
3653,MITK,13.21,12.67,11.87,11.72,11.43,8.78,14.83,86.51,True,True,True,True,True,True,True,True,True
3664,ML,71.29,63.83,46.62,38.94,33.06,9.02,85.92,101.59,True,True,True,True,True,True,True,True,True
3669,MLI,56.97,51.84,45.29,43.92,42.85,35.07,56.97,95.24,True,True,True,True,True,True,True,True,True
3671,MLM,592.57,587.87,504.1,489.88,474.46,344.52,621.53,126.19,True,True,True,True,True,True,True,True,True
3674,MLR,50.39,47.74,42.35,41.38,39.93,32.45,53.13,103.17,True,True,True,True,True,True,True,True,True
3690,MMYT,65.13,64.07,50.84,46.76,42.89,22.51,75.97,110.32,True,True,True,True,True,True,True,True,True
3695,MNMD,9.27,8.14,4.93,4.76,4.15,2.43,11.75,79.37,True,True,True,True,True,True,True,True,True
3725,MOR,18.08,17.89,11.58,10.64,9.63,4.55,18.18,91.27,True,True,True,True,True,True,True,True,True
3727,MORN,302.76,299.71,275.58,263.0,252.85,172.03,315.06,88.1,True,True,True,True,True,True,True,True,True
3735,MPC,197.78,189.98,164.62,158.17,149.35,104.91,219.13,108.73,True,True,True,True,True,True,True,True,True
3781,MSGE,39.08,38.27,33.94,33.72,33.34,22.05,40.09,85.71,True,True,True,True,True,True,True,True,True
3792,MTAL,13.11,12.74,11.72,11.58,11.28,9.39,13.55,82.54,True,True,True,True,True,True,True,True,True
3793,MTB,146.47,140.13,132.5,132.28,130.66,108.94,146.47,88.89,True,True,True,True,True,True,True,True,True
3798,MTEK,1.5,1.43,1.18,1.14,1.08,0.79,1.73,82.54,True,True,True,True,True,True,True,True,True
3810,MTSI,97.62,93.41,86.4,83.29,79.84,53.81,102.78,94.44,True,True,True,True,True,True,True,True,True
3816,MU,112.58,103.44,85.71,81.07,75.91,58.14,128.01,92.86,True,True,True,True,True,True,True,True,True
