,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
5880,WDC,70.03,64.0,53.71,50.66,47.65,True,32.09,73.9,101.59,True,True,True,True,True,True,True,True,True
5892,WES,36.01,33.91,29.97,29.28,28.45,True,25.18,36.03,93.65,True,True,True,True,True,True,True,True,True
5894,WEX,234.68,229.79,202.21,199.98,194.47,True,163.32,242.22,109.52,True,True,True,True,True,True,True,True,True
5897,WFC,61.17,56.12,48.45,47.21,45.7,True,36.72,61.17,93.65,True,True,True,True,True,True,True,True,True
5900,WFRD,117.68,111.89,99.27,95.58,90.43,True,56.44,126.41,98.41,True,True,True,True,True,True,True,True,True
5907,WHLM,5.08,4.59,4.45,4.25,4.14,True,3.28,5.08,85.71,True,True,True,True,True,True,True,True,True
5909,WHLRD,15.41,14.71,13.71,13.22,12.95,True,9.73,15.8,88.1,True,True,True,True,True,True,True,True,True
5916,WING,360.77,349.17,268.55,244.17,228.08,True,151.2,370.76,119.05,True,True,True,True,True,True,True,True,True
5919,WIRE,285.0,246.31,213.93,202.28,193.55,True,145.75,291.23,98.41,True,True,True,True,True,True,True,True,True
5926,WKC,25.21,25.05,22.74,22.64,22.32,True,18.14,26.66,77.78,True,True,True,True,True,True,True,True,True
5933,WLFC,49.61,48.94,46.57,45.54,44.76,True,37.4,51.87,78.57,True,True,True,True,True,True,True,True,True
5935,WLK,149.76,146.67,135.44,134.08,130.41,True,103.95,162.06,79.37,True,True,True,True,True,True,True,True,True
5939,WM,209.45,207.35,183.24,177.94,174.03,True,151.21,213.97,89.68,True,True,True,True,True,True,True,True,True
5940,WMB,38.78,37.03,35.6,35.27,34.58,True,28.56,39.35,102.38,True,True,True,True,True,True,True,True,True
5956,WPM,52.26,46.11,45.71,45.11,44.42,True,38.82,52.69,84.92,True,True,True,True,True,True,True,True,True
5962,WRK,47.54,46.78,41.56,39.31,37.43,True,26.88,49.45,91.27,True,True,True,True,True,True,True,True,True
5965,WSBC,29.12,28.61,27.79,27.44,27.22,True,21.2,32.01,70.63,True,True,True,True,True,True,True,True,True
5966,WSBCP,24.3,23.95,23.66,23.48,23.37,True,17.86,24.77,82.54,True,True,True,True,True,True,True,True,True
5969,WSFS,45.0,42.92,41.24,41.11,40.58,True,29.94,47.34,77.78,True,True,True,True,True,True,True,True,True
5970,WSM,284.18,269.72,209.56,191.34,174.9,True,111.16,317.53,85.71,True,True,True,True,True,True,True,True,True
5971,WSO,416.31,408.82,395.61,386.77,381.59,True,319.92,444.57,101.59,True,True,True,True,True,True,True,True,True
5974,WT,8.95,8.51,7.35,7.26,7.06,True,6.11,9.64,76.19,True,True,True,True,True,True,True,True,True
5976,WTFC,100.61,98.15,89.7,87.2,84.51,True,60.72,104.67,85.71,True,True,True,True,True,True,True,True,True
5984,WTS,208.28,203.86,195.22,192.6,190.05,True,156.57,218.0,84.92,True,True,True,True,True,True,True,True,True
5993,WWD,150.28,146.66,136.8,133.93,130.53,True,91.78,158.24,90.48,True,True,True,True,True,True,True,True,True
6003,XBIT,8.11,7.32,5.25,5.21,4.94,True,3.06,9.89,80.16,True,True,True,True,True,True,True,True,True
6023,XOMA,26.3,24.56,19.81,18.78,18.08,True,13.82,26.35,80.95,True,True,True,True,True,True,True,True,True
6041,XTLB,2.62,1.8,1.23,1.15,0.99,True,0.76,3.33,80.95,True,True,True,True,True,True,True,True,True
6046,XYL,130.55,127.14,111.07,109.47,107.86,True,87.76,130.55,97.62,True,True,True,True,True,True,True,True,True
6057,YMAB,15.95,15.74,9.91,8.9,8.17,True,4.86,18.69,77.78,True,True,True,True,True,True,True,True,True
6058,YMM,8.25,7.11,6.96,6.95,6.85,True,5.57,8.25,75.4,True,True,True,True,True,True,True,True,True
6063,YPF,20.76,18.99,15.93,15.54,14.95,True,9.93,21.75,79.37,True,True,True,True,True,True,True,True,True
6065,YRD,5.04,5.02,3.74,3.42,3.19,True,2.02,5.7,86.51,True,True,True,True,True,True,True,True,True
6081,ZENV,2.16,2.15,1.49,1.34,1.19,True,0.67,2.85,90.48,True,True,True,True,True,True,True,True,True
6084,ZETA,12.11,10.88,9.38,9.11,8.83,True,7.28,12.23,84.13,True,True,True,True,True,True,True,True,True
6085,ZEUS,69.59,68.18,61.25,58.85,56.71,True,41.65,72.12,99.21,True,True,True,True,True,True,True,True,True
6094,ZION,41.95,40.76,38.69,37.89,36.61,True,19.93,45.67,88.1,True,True,True,True,True,True,True,True,True
6095,ZIONL,25.55,25.49,25.38,25.27,25.14,True,19.25,25.96,92.06,True,True,True,True,True,True,True,True,True
6117,ZWS,32.7,31.9,29.72,29.51,28.93,True,20.44,33.47,81.75,True,True,True,True,True,True,True,True,True
