,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
2923,IRTC,115.94,111.44,100.4,101.25,100.2,True,72.43,135.4,78.57,True,False,True,False,True,True,True,True,False
2924,IRWD,8.27,10.07,10.56,10.38,10.64,False,7.6,15.45,90.48,False,True,False,False,False,False,False,True,False
2925,ISD,12.52,12.78,12.28,12.28,12.25,True,11.03,13.12,81.75,True,False,True,False,False,False,True,True,False
2926,ISDR,11.95,13.33,15.45,16.72,17.36,False,11.53,22.72,66.67,False,False,False,False,False,False,False,False,False
2927,ISPC,0.3,0.35,0.48,0.65,0.76,False,0.21,1.74,53.97,False,False,False,False,False,True,False,False,False
2928,ISPO,3.91,4.16,4.97,8.03,9.55,False,3.65,24.0,69.05,False,False,False,False,False,False,False,False,False
2929,ISPOW,0.01,0.01,0.01,0.02,0.03,False,0.0,0.1,80.16,False,False,False,False,False,True,False,True,False
2930,ISPR,5.48,8.23,9.6,9.58,9.84,True,5.34,16.3,73.02,False,True,True,False,False,False,False,True,False
2931,ISRG,377.93,386.22,339.63,333.3,328.02,True,258.49,400.59,100.0,True,True,True,True,False,True,True,True,False
2932,ISRL,10.92,10.8,10.69,10.64,10.59,True,10.21,10.93,100.0,True,True,True,True,True,False,True,True,False
2933,ISSC,6.41,7.58,7.71,7.75,7.76,True,6.12,8.53,71.43,False,False,True,False,False,False,True,True,False
2934,ISTR,16.47,16.11,13.96,13.78,13.39,True,9.26,17.93,75.4,True,True,True,True,True,True,True,True,True
2935,ISUN,0.15,0.2,0.21,0.25,0.27,False,0.13,0.66,60.32,False,False,False,False,False,False,False,False,False
2936,IT,451.92,464.42,428.41,408.41,397.36,True,294.42,483.11,114.29,True,True,True,True,False,True,True,True,False
2937,ITCI,75.5,69.41,63.27,62.13,61.55,True,46.37,79.84,81.75,True,True,True,True,True,True,True,True,True
2938,ITGR,118.23,112.19,97.34,94.4,91.48,True,69.42,119.31,88.1,True,True,True,True,True,True,True,True,True
2939,ITI,4.6,4.89,4.65,4.56,4.51,True,3.82,5.41,69.84,False,True,True,True,False,False,True,False,False
2940,ITIC,162.21,158.02,154.53,153.63,151.66,True,130.88,170.68,86.51,True,True,True,True,True,False,True,True,False
2941,ITOS,10.94,11.35,10.63,11.22,11.38,False,8.57,18.05,75.4,False,False,False,False,False,False,False,True,False
2942,ITP,0.23,0.28,0.3,0.34,0.36,False,0.21,0.53,69.84,False,False,False,False,False,False,False,False,False
2943,ITRG,0.84,0.78,0.83,0.85,0.87,False,0.46,1.15,67.46,False,False,False,False,True,True,False,False,False
2944,ITRI,94.4,88.24,74.0,73.0,71.07,True,51.15,95.85,78.57,True,True,True,True,True,True,True,True,True
